R,G,B,R,G,B
255,165,0,128,0,0
255,140,0,205,133,63
255,140,0,184,134,11
255,140,0,160,82,45
255,140,0,139,69,19
255,140,0,128,0,0
255,140,0,128,0,0
255,255,255,255,69,0
255,255,255,255,0,0
255,255,255,220,20,60
245,245,245,255,69,0
245,245,245,255,0,0
245,245,245,220,20,60
255,255,0,65,105,225
255,255,0,25,25,112
255,255,0,0,0,128
255,255,0,0,0,139
255,255,0,0,0,205
255,255,0,0,0,255
255,255,0,30,144,255
255,255,0,100,149,237
255,215,0,65,105,225
255,215,0,25,25,112
255,215,0,0,0,128
255,215,0,0,0,139
255,215,0,0,0,205
255,215,0,0,0,255
255,215,0,30,144,255
255,215,0,100,149,237
255,165,0,65,105,225
255,165,0,25,25,112
255,165,0,0,0,128
255,165,0,0,0,139
255,165,0,0,0,205
255,165,0,0,0,255
255,165,0,30,144,255
255,165,0,100,149,237
255,140,0,65,105,225
255,140,0,25,25,112
255,140,0,0,0,128
255,140,0,0,0,139
255,140,0,0,0,205
255,140,0,0,0,255
255,140,0,30,144,255
255,140,0,100,149,237
65,105,225,205,133,63
65,105,225,184,134,11
65,105,225,160,82,45
65,105,225,139,69,19
65,105,225,128,0,0
65,105,225,128,0,0
25,25,112,205,133,63
25,25,112,184,134,11
25,25,112,160,82,45
25,25,112,139,69,19
25,25,112,128,0,0
25,25,112,128,0,0
0,0,128,205,133,63
0,0,128,184,134,11
0,0,128,160,82,45
0,0,128,139,69,19
0,0,128,128,0,0
0,0,128,128,0,0
0,0,139,205,133,63
0,0,139,184,134,11
0,0,139,160,82,45
0,0,139,139,69,19
0,0,139,128,0,0
0,0,139,128,0,0
0,0,205,205,133,63
0,0,205,184,134,11
0,0,205,160,82,45
0,0,205,139,69,19
0,0,205,128,0,0
0,0,205,128,0,0
0,0,255,205,133,63
0,0,255,184,134,11
0,0,255,160,82,45
0,0,255,139,69,19
0,0,255,128,0,0
0,0,255,128,0,0
30,144,255,205,133,63
30,144,255,184,134,11
30,144,255,160,82,45
30,144,255,139,69,19
30,144,255,128,0,0
30,144,255,128,0,0
100,149,237,205,133,63
100,149,237,184,134,11
100,149,237,160,82,45
100,149,237,139,69,19
100,149,237,128,0,0
100,149,237,128,0,0
139,0,139,255,255,0
139,0,139,255,215,0
139,0,139,255,165,0
139,0,139,255,140,0
128,0,128,255,255,0
128,0,128,255,215,0
128,0,128,255,165,0
128,0,128,255,140,0
75,0,130,255,255,0
75,0,130,255,215,0
75,0,130,255,165,0
75,0,130,255,140,0
72,61,139,255,255,0
72,61,139,255,215,0
72,61,139,255,165,0
72,61,139,255,140,0
138,43,226,255,255,0
138,43,226,255,215,0
138,43,226,255,165,0
138,43,226,255,140,0
147,112,219,255,255,0
147,112,219,255,215,0
147,112,219,255,165,0
147,112,219,255,140,0
106,90,205,255,255,0
